platform,operation,file_count,file_size,total_size_mb,elapsed_time,speed_mbps,concurrent_ops,iteration,status
AWS S3,upload,10,1024,0.009765625,0.06575632095336914,0.1485123385617218,10,1,success
Azure Blob Storage,upload,10,1024,0.009765625,0.48520708084106445,0.020126715758294653,10,1,success
AWS S3,download,10,1024,0.009765625,0.07338118553161621,0.1330807744417333,10,1,success
Azure Blob Storage,download,10,1024,0.009765625,0.2475450038909912,0.03944989737825767,10,1,success
AWS S3,upload,10,1024,0.009765625,0.06457877159118652,0.15122035863148528,10,2,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4853651523590088,0.02012016098093644,10,2,success
AWS S3,download,10,1024,0.009765625,0.0778048038482666,0.1255144222077178,10,2,success
Azure Blob Storage,download,10,1024,0.009765625,0.2768990993499756,0.03526781063183282,10,2,success
AWS S3,upload,10,1024,0.009765625,0.06220507621765137,0.1569908051527939,10,3,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4922490119934082,0.019838790453744523,10,3,success
AWS S3,download,10,1024,0.009765625,0.07117486000061035,0.13720610057984317,10,3,success
Azure Blob Storage,download,10,1024,0.009765625,0.25099897384643555,0.03890703157206825,10,3,success
AWS S3,upload,10,1024,0.009765625,0.06465268135070801,0.1510474862910393,25,1,success
Azure Blob Storage,upload,10,1024,0.009765625,0.45849108695983887,0.02129948711708634,25,1,success
AWS S3,download,10,1024,0.009765625,0.06942629814147949,0.14066175586806093,25,1,success
Azure Blob Storage,download,10,1024,0.009765625,0.27305102348327637,0.035764835727115,25,1,success
AWS S3,upload,10,1024,0.009765625,0.06049776077270508,0.16142126378346852,25,2,success
Azure Blob Storage,upload,10,1024,0.009765625,0.5190348625183105,0.018814969292463447,25,2,success
AWS S3,download,10,1024,0.009765625,0.08115983009338379,0.1203258433237664,25,2,success
Azure Blob Storage,download,10,1024,0.009765625,0.2676050662994385,0.03649267607315285,25,2,success
AWS S3,upload,10,1024,0.009765625,0.06309986114501953,0.15476460364240913,25,3,success
Azure Blob Storage,upload,10,1024,0.009765625,0.5394198894500732,0.018103939418985533,25,3,success
AWS S3,download,10,1024,0.009765625,0.08146882057189941,0.11986947805855928,25,3,success
Azure Blob Storage,download,10,1024,0.009765625,0.2707831859588623,0.03606436996972037,25,3,success
AWS S3,upload,10,1024,0.009765625,0.08337616920471191,0.11712729300410346,50,1,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4898531436920166,0.019935821839167173,50,1,success
AWS S3,download,10,1024,0.009765625,0.09040522575378418,0.10802058087434432,50,1,success
Azure Blob Storage,download,10,1024,0.009765625,0.2947530746459961,0.03313154582603997,50,1,success
AWS S3,upload,10,1024,0.009765625,0.0648648738861084,0.15055336447808043,50,2,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4626607894897461,0.021107526770898822,50,2,success
AWS S3,download,10,1024,0.009765625,0.06712603569030762,0.14548192664102264,50,2,success
Azure Blob Storage,download,10,1024,0.009765625,0.28890514373779297,0.033802184598219445,50,2,success
AWS S3,upload,10,1024,0.009765625,0.0758509635925293,0.12874754040648514,50,3,success
Azure Blob Storage,upload,10,1024,0.009765625,0.5208492279052734,0.01874942781287192,50,3,success
AWS S3,download,10,1024,0.009765625,0.08073973655700684,0.12095190567168762,50,3,success
Azure Blob Storage,download,10,1024,0.009765625,0.26934003829956055,0.03625760604199013,50,3,success
AWS S3,upload,50,1024,0.048828125,0.23396825790405273,0.20869551039707174,10,1,success
Azure Blob Storage,upload,50,1024,0.048828125,0.610008716583252,0.08004496275642334,10,1,success
AWS S3,download,50,1024,0.048828125,0.3497638702392578,0.1396031127131538,10,1,success
Azure Blob Storage,download,50,1024,0.048828125,0.32279086112976074,0.1512686103599794,10,1,success
AWS S3,upload,50,1024,0.048828125,0.29828715324401855,0.16369503167994423,10,2,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5409111976623535,0.09027013160574167,10,2,success
AWS S3,download,50,1024,0.048828125,0.3366389274597168,0.14504598552656367,10,2,success
Azure Blob Storage,download,50,1024,0.048828125,0.2900390625,0.16835016835016836,10,2,success
AWS S3,upload,50,1024,0.048828125,0.28411006927490234,0.17186340887043447,10,3,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5306768417358398,0.09201103413573425,10,3,success
AWS S3,download,50,1024,0.048828125,0.32453417778015137,0.15045603311795885,10,3,success
Azure Blob Storage,download,50,1024,0.048828125,0.35081911087036133,0.1391831958038441,10,3,success
AWS S3,upload,50,1024,0.048828125,0.2833831310272217,0.17230427521569583,25,1,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5183660984039307,0.09419621605337172,25,1,success
AWS S3,download,50,1024,0.048828125,0.32659316062927246,0.14950749399013455,25,1,success
Azure Blob Storage,download,50,1024,0.048828125,0.34723997116088867,0.14061781204726626,25,1,success
AWS S3,upload,50,1024,0.048828125,0.27565813064575195,0.17713290330169504,25,2,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5233449935913086,0.09330007088618666,25,2,success
AWS S3,download,50,1024,0.048828125,0.3321378231048584,0.14701163674630516,25,2,success
Azure Blob Storage,download,50,1024,0.048828125,0.3118758201599121,0.15656271452837775,25,2,success
AWS S3,upload,50,1024,0.048828125,0.3384556770324707,0.14426741317539057,25,3,success
Azure Blob Storage,upload,50,1024,0.048828125,0.536628007888794,0.09099063836064016,25,3,success
AWS S3,download,50,1024,0.048828125,0.2597818374633789,0.187958193986072,25,3,success
Azure Blob Storage,download,50,1024,0.048828125,0.33422207832336426,0.1460948517971878,25,3,success
AWS S3,upload,50,1024,0.048828125,0.2834329605102539,0.1722739829273791,50,1,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5314879417419434,0.09187061674431708,50,1,success
AWS S3,download,50,1024,0.048828125,0.34143900871276855,0.14300687312818458,50,1,success
Azure Blob Storage,download,50,1024,0.048828125,0.309643030166626,0.1576916650561276,50,1,success
AWS S3,upload,50,1024,0.048828125,0.3016200065612793,0.16188622749757725,50,2,success
Azure Blob Storage,upload,50,1024,0.048828125,0.6422600746154785,0.07602547150269838,50,2,success
AWS S3,download,50,1024,0.048828125,0.31109094619750977,0.1569577179819284,50,2,success
Azure Blob Storage,download,50,1024,0.048828125,0.38719916343688965,0.12610596718904996,50,2,success
AWS S3,upload,50,1024,0.048828125,0.27295994758605957,0.178883845164153,50,3,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5522928237915039,0.08840984871900691,50,3,success
AWS S3,download,50,1024,0.048828125,0.3553640842437744,0.13740309492420355,50,3,success
Azure Blob Storage,download,50,1024,0.048828125,0.4744558334350586,0.1029139522776747,50,3,success
AWS S3,upload,100,1024,0.09765625,0.535546064376831,0.18234892662993274,10,1,success
Azure Blob Storage,upload,100,1024,0.09765625,0.5992310047149658,0.1629692876897313,10,1,success
AWS S3,download,100,1024,0.09765625,0.6464409828186035,0.15106754150115992,10,1,success
Azure Blob Storage,download,100,1024,0.09765625,0.42031407356262207,0.23234113759802602,10,1,success
AWS S3,upload,100,1024,0.09765625,0.6265277862548828,0.15586898481190692,10,2,success
Azure Blob Storage,upload,100,1024,0.09765625,0.5824718475341797,0.16765831758807792,10,2,success
AWS S3,download,100,1024,0.09765625,0.6614272594451904,0.1476447313071353,10,2,success
Azure Blob Storage,download,100,1024,0.09765625,0.42509984970092773,0.22972543996123382,10,2,success
AWS S3,upload,100,1024,0.09765625,0.5430848598480225,0.1798176624318495,10,3,success
Azure Blob Storage,upload,100,1024,0.09765625,0.5937049388885498,0.16448616746025085,10,3,success
AWS S3,download,100,1024,0.09765625,0.681771993637085,0.1432388700495426,10,3,success
Azure Blob Storage,download,100,1024,0.09765625,0.5000231266021729,0.19530346658885045,10,3,success
AWS S3,upload,100,1024,0.09765625,0.5613231658935547,0.1739750930189096,25,1,success
Azure Blob Storage,upload,100,1024,0.09765625,0.7215220928192139,0.13534755341783963,25,1,success
AWS S3,download,100,1024,0.09765625,0.7079389095306396,0.13794445916914733,25,1,success
Azure Blob Storage,download,100,1024,0.09765625,0.49141979217529297,0.19872266350469928,25,1,success
AWS S3,upload,100,1024,0.09765625,0.5545289516448975,0.17610667524269485,25,2,success
Azure Blob Storage,upload,100,1024,0.09765625,0.609503984451294,0.16022249647459655,25,2,success
AWS S3,download,100,1024,0.09765625,0.6344630718231201,0.1539195176787614,25,2,success
Azure Blob Storage,download,100,1024,0.09765625,0.3787398338317871,0.2578452047464669,25,2,success
AWS S3,upload,100,1024,0.09765625,0.550868034362793,0.17727703171770018,25,3,success
Azure Blob Storage,upload,100,1024,0.09765625,0.6456770896911621,0.15124626776940556,25,3,success
AWS S3,download,100,1024,0.09765625,0.6462652683258057,0.15110861558905245,25,3,success
Azure Blob Storage,download,100,1024,0.09765625,0.4324460029602051,0.2258229913827799,25,3,success
AWS S3,upload,100,1024,0.09765625,0.553955078125,0.17628911414720141,50,1,success
Azure Blob Storage,upload,100,1024,0.09765625,0.6182599067687988,0.15795339295148408,50,1,success
AWS S3,download,100,1024,0.09765625,0.6696372032165527,0.14583456464323583,50,1,success
Azure Blob Storage,download,100,1024,0.09765625,0.5159227848052979,0.18928462335086466,50,1,success
AWS S3,upload,100,1024,0.09765625,0.5701248645782471,0.17128923165321291,50,2,success
Azure Blob Storage,upload,100,1024,0.09765625,0.658627986907959,0.14827224463761987,50,2,success
AWS S3,download,100,1024,0.09765625,0.6060550212860107,0.1611342973329048,50,2,success
Azure Blob Storage,download,100,1024,0.09765625,0.42469096183776855,0.2299466171293388,50,2,success
AWS S3,upload,100,1024,0.09765625,0.565532922744751,0.17268004403003856,50,3,success
Azure Blob Storage,upload,100,1024,0.09765625,0.7339718341827393,0.1330517677272153,50,3,success
AWS S3,download,100,1024,0.09765625,0.6791098117828369,0.1438003814782581,50,3,success
Azure Blob Storage,download,100,1024,0.09765625,0.4334690570831299,0.22529001414112856,50,3,success
AWS S3,upload,10,10240,0.09765625,0.05137276649475098,1.9009342237774571,10,1,success
Azure Blob Storage,upload,10,10240,0.09765625,1.0184409618377686,0.09588798335819101,10,1,success
AWS S3,download,10,10240,0.09765625,0.07102274894714355,1.3749995803834287,10,1,success
Azure Blob Storage,download,10,10240,0.09765625,0.2737419605255127,0.3567456367029945,10,1,success
AWS S3,upload,10,10240,0.09765625,0.06397199630737305,1.5265468585782542,10,2,success
Azure Blob Storage,upload,10,10240,0.09765625,0.44927310943603516,0.21736500126300953,10,2,success
AWS S3,download,10,10240,0.09765625,0.06802630424499512,1.4355660076474732,10,2,success
Azure Blob Storage,download,10,10240,0.09765625,0.2970259189605713,0.32878023016221486,10,2,success
AWS S3,upload,10,10240,0.09765625,0.06822085380554199,1.4314721166985276,10,3,success
Azure Blob Storage,upload,10,10240,0.09765625,0.4602622985839844,0.21217521031038913,10,3,success
AWS S3,download,10,10240,0.09765625,0.08290815353393555,1.1778847536391923,10,3,success
Azure Blob Storage,download,10,10240,0.09765625,0.2676851749420166,0.3648175511443746,10,3,success
AWS S3,upload,10,10240,0.09765625,0.06269168853759766,1.5577224394176796,25,1,success
Azure Blob Storage,upload,10,10240,0.09765625,0.5176169872283936,0.18866507941114016,25,1,success
AWS S3,download,10,10240,0.09765625,0.07217192649841309,1.3531057675472646,25,1,success
Azure Blob Storage,download,10,10240,0.09765625,0.27753281593322754,0.3518728034795547,25,1,success
AWS S3,upload,10,10240,0.09765625,0.06139016151428223,1.590747565915437,25,2,success
Azure Blob Storage,upload,10,10240,0.09765625,0.4860999584197998,0.20089746626899171,25,2,success
AWS S3,download,10,10240,0.09765625,0.07440185546875,1.3125512715340444,25,2,success
Azure Blob Storage,download,10,10240,0.09765625,0.25951504707336426,0.3763028429422546,25,2,success
AWS S3,upload,10,10240,0.09765625,0.06254291534423828,1.561427852579253,25,3,success
Azure Blob Storage,upload,10,10240,0.09765625,0.45273685455322266,0.21570201104208928,25,3,success
AWS S3,download,10,10240,0.09765625,0.07401609420776367,1.3193921003974927,25,3,success
Azure Blob Storage,download,10,10240,0.09765625,0.3275949954986572,0.29810055508128264,25,3,success
AWS S3,upload,10,10240,0.09765625,0.06524801254272461,1.4966930975262176,50,1,success
Azure Blob Storage,upload,10,10240,0.09765625,0.4920470714569092,0.19846932471490628,50,1,success
AWS S3,download,10,10240,0.09765625,0.07279014587402344,1.3416136048004612,50,1,success
Azure Blob Storage,download,10,10240,0.09765625,0.26680588722229004,0.36601984692578177,50,1,success
AWS S3,upload,10,10240,0.09765625,0.06323981285095215,1.5442210467978903,50,2,success
Azure Blob Storage,upload,10,10240,0.09765625,0.44611597061157227,0.21890328173215773,50,2,success
AWS S3,download,10,10240,0.09765625,0.06969785690307617,1.4011370555597364,50,2,success
Azure Blob Storage,download,10,10240,0.09765625,0.3178212642669678,0.3072678293733342,50,2,success
AWS S3,upload,10,10240,0.09765625,0.06163191795349121,1.584507723314623,50,3,success
Azure Blob Storage,upload,10,10240,0.09765625,0.48232316970825195,0.20247057602285704,50,3,success
AWS S3,download,10,10240,0.09765625,0.08300089836120605,1.1765685905593009,50,3,success
Azure Blob Storage,download,10,10240,0.09765625,0.24401497840881348,0.4002059653747583,50,3,success
AWS S3,upload,50,10240,0.48828125,0.2524240016937256,1.9343693417571592,10,1,success
Azure Blob Storage,upload,50,10240,0.48828125,0.5533881187438965,0.8823486328335368,10,1,success
AWS S3,download,50,10240,0.48828125,0.31195592880249023,1.5652251004633004,10,1,success
Azure Blob Storage,download,50,10240,0.48828125,0.45715880393981934,1.0680779759505137,10,1,success
AWS S3,upload,50,10240,0.48828125,0.285736083984375,1.7088539997863932,10,2,success
Azure Blob Storage,upload,50,10240,0.48828125,0.5833642482757568,0.8370092124143833,10,2,success
AWS S3,download,50,10240,0.48828125,0.3796417713165283,1.2861631329627659,10,2,success
Azure Blob Storage,download,50,10240,0.48828125,0.4588611125946045,1.0641155604558448,10,2,success
AWS S3,upload,50,10240,0.48828125,0.285858154296875,1.7081242660403544,10,3,success
Azure Blob Storage,upload,50,10240,0.48828125,0.6742599010467529,0.7241736446761392,10,3,success
AWS S3,download,50,10240,0.48828125,0.32476115226745605,1.5035087989769091,10,3,success
Azure Blob Storage,download,50,10240,0.48828125,0.3259429931640625,1.4980572070595946,10,3,success
AWS S3,upload,50,10240,0.48828125,0.29501795768737793,1.6550899268220738,25,1,success
Azure Blob Storage,upload,50,10240,0.48828125,0.769981861114502,0.6341464320902866,25,1,success
AWS S3,download,50,10240,0.48828125,0.34041905403137207,1.4343534658756245,25,1,success
Azure Blob Storage,download,50,10240,0.48828125,0.3395988941192627,1.4378175502200605,25,1,success
AWS S3,upload,50,10240,0.48828125,0.29671812057495117,1.6456064397208254,25,2,success
Azure Blob Storage,upload,50,10240,0.48828125,0.6233730316162109,0.7832890183491572,25,2,success
AWS S3,download,50,10240,0.48828125,0.32760000228881836,1.4904799956915813,25,2,success
Azure Blob Storage,download,50,10240,0.48828125,0.3742258548736572,1.3047768978037317,25,2,success
AWS S3,upload,50,10240,0.48828125,0.30721211433410645,1.5893945167441315,25,3,success
Azure Blob Storage,upload,50,10240,0.48828125,0.579524040222168,0.8425556424075369,25,3,success
AWS S3,download,50,10240,0.48828125,0.31458091735839844,1.5521642383784735,25,3,success
Azure Blob Storage,download,50,10240,0.48828125,0.41699671745300293,1.1709474668827127,25,3,success
AWS S3,upload,50,10240,0.48828125,0.29317712783813477,1.6654820708578046,50,1,success
Azure Blob Storage,upload,50,10240,0.48828125,0.5466761589050293,0.8931818994594679,50,1,success
AWS S3,download,50,10240,0.48828125,0.32718515396118164,1.4923698220669614,50,1,success
Azure Blob Storage,download,50,10240,0.48828125,0.3525576591491699,1.3849684933192852,50,1,success
AWS S3,upload,50,10240,0.48828125,0.2899298667907715,1.6841357373932409,50,2,success
Azure Blob Storage,upload,50,10240,0.48828125,0.6478140354156494,0.7537367567016509,50,2,success
AWS S3,download,50,10240,0.48828125,0.3441660404205322,1.4187374483646764,50,2,success
Azure Blob Storage,download,50,10240,0.48828125,0.3808250427246094,1.2821668619967745,50,2,success
AWS S3,upload,50,10240,0.48828125,0.2898092269897461,1.684836797888689,50,3,success
Azure Blob Storage,upload,50,10240,0.48828125,0.5974941253662109,0.8172151478489046,50,3,success
AWS S3,download,50,10240,0.48828125,0.38123106956481934,1.2808013013141346,50,3,success
Azure Blob Storage,download,50,10240,0.48828125,0.40569305419921875,1.2035731076633756,50,3,success
AWS S3,upload,100,10240,0.9765625,0.5285871028900146,1.8474958898177989,10,1,success
Azure Blob Storage,upload,100,10240,0.9765625,0.7459800243377686,1.3091000672128281,10,1,success
AWS S3,download,100,10240,0.9765625,0.651839017868042,1.4981651500304864,10,1,success
Azure Blob Storage,download,100,10240,0.9765625,0.511693000793457,1.9084929801378812,10,1,success
AWS S3,upload,100,10240,0.9765625,0.5700581073760986,1.7130929064319194,10,2,success
Azure Blob Storage,upload,100,10240,0.9765625,0.7194209098815918,1.3574285742691725,10,2,success
AWS S3,download,100,10240,0.9765625,0.5808141231536865,1.681368377713495,10,2,success
Azure Blob Storage,download,100,10240,0.9765625,0.4503970146179199,2.1682259613297745,10,2,success
AWS S3,upload,100,10240,0.9765625,0.568112850189209,1.7189586535047703,10,3,success
Azure Blob Storage,upload,100,10240,0.9765625,0.727060079574585,1.3431661666411434,10,3,success
AWS S3,download,100,10240,0.9765625,0.6287102699279785,1.5532790646347632,10,3,success
Azure Blob Storage,download,100,10240,0.9765625,0.45323801040649414,2.154635042908589,10,3,success
AWS S3,upload,100,10240,0.9765625,0.5654339790344238,1.7271026082791294,25,1,success
Azure Blob Storage,upload,100,10240,0.9765625,0.8390693664550781,1.1638638461153772,25,1,success
AWS S3,download,100,10240,0.9765625,0.5864839553833008,1.665113752961512,25,1,success
Azure Blob Storage,download,100,10240,0.9765625,0.40625882148742676,2.403793956829128,25,1,success
AWS S3,upload,100,10240,0.9765625,0.6023640632629395,1.6212164031002598,25,2,success
Azure Blob Storage,upload,100,10240,0.9765625,0.6517441272735596,1.4983832751746498,25,2,success
AWS S3,download,100,10240,0.9765625,0.6529510021209717,1.4956137548266955,25,2,success
Azure Blob Storage,download,100,10240,0.9765625,0.555476188659668,1.758063657699512,25,2,success
AWS S3,upload,100,10240,0.9765625,0.5765702724456787,1.6937441048731945,25,3,success
Azure Blob Storage,upload,100,10240,0.9765625,0.6610989570617676,1.4771805182393567,25,3,success
AWS S3,download,100,10240,0.9765625,0.5660459995269775,1.7252352296740459,25,3,success
Azure Blob Storage,download,100,10240,0.9765625,0.5287601947784424,1.8468911042163316,25,3,success
AWS S3,upload,100,10240,0.9765625,0.6160850524902344,1.5851098741199854,50,1,success
Azure Blob Storage,upload,100,10240,0.9765625,20.924151182174683,0.04667154674508064,50,1,success
AWS S3,download,100,10240,0.9765625,0.6223478317260742,1.569158676574024,50,1,success
Azure Blob Storage,download,100,10240,0.9765625,0.401932954788208,2.429665167700876,50,1,success
AWS S3,upload,100,10240,0.9765625,0.5814898014068604,1.679414664947344,50,2,success
Azure Blob Storage,upload,100,10240,0.9765625,0.8435268402099609,1.1577136060743787,50,2,success
AWS S3,download,100,10240,0.9765625,0.632561206817627,1.54382293677638,50,2,success
Azure Blob Storage,download,100,10240,0.9765625,0.42956018447875977,2.2734008767246157,50,2,success
